",Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
Sheet To Go," 11.000"," S80)",Documents To Go,DataViz,proprietary,yes,,
EIOffice Spreadsheet," 2009, 5.0.1272.101"," Windows, Linux",EIOffice,Evermore Software,proprietary,yes,," Import only"
Gnumeric,1.8," Linux, Unix, Windows",,GNOME,GPL,yes,,Incomplete support
Go-oo Calc," 3.0.0"," Windows, Linux, Unix, Mac OS X",Go-oo,Free software community," LGPL, CDDL",yes,,Import only
Google Docs," (current)",Web application,Google Docs,Google,proprietary,yes,,
IBM Lotus Symphony," 1.3"," Windows, Mac OS X, Linux",IBM Lotus Symphony,IBM,proprietary,yes,,Import only
Kingsoft Office Spreadsheets," 2009, 6.3.0.1733",Windows,Kingsoft Office,Kingsoft,proprietary,yes,,Import only beta support
LibreOffice,All versions," Windows, OS X, Linux, Unix, Android",,The Document Foundation,MPL,yes,yes,
Microsoft Office Excel," 2013, 2011 for Mac"," Windows, Mac OS X",Microsoft Office,Microsoft,proprietary,yes,yes,
Microsoft Office Mobile Excel Mobile," 6.1",Windows Mobile,Microsoft Office Mobile,Microsoft,proprietary,yes,,
Microsoft Works Spreadsheet," 9",Windows,Microsoft Works,Microsoft,proprietary,yes,yes,
NeoOffice Calc,2.2.5,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,yes,,
Numbers,08,Mac OS X,iWork,Apple Inc.,proprietary,yes,,
ONLYOFFICE,"5.2",Web Application,ONLYOFFICE,Ascensio System SIA,"Proprietary, AGPL",yes,,
OpenOffice.org Calc,3.0," Windows, Linux, Unix, Mac OS X",OpenOffice.org,OpenOffice.org,LGPL,yes,,Import only
Quattro Pro," X4 (2008)",Windows,WordPerfect Office,Corel,proprietary,yes,,Import only
StarOffice Calc," 9"," Windows, Linux, Solaris",StarOffice,Sun Microsystems,proprietary,yes,," Import only"
Thinkfree Office Calc," "," Windows, Mac OS X, Linux",Thinkfree Office,ThinkFree Corp,proprietary,yes,,
,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
