SlotCard,CF,,CFast,SM,MMC,,Memory Stick,,,,SDSC,,,SDHC,,,SDXC,,xD,,,XQD
,I,II,,,MMC," RS-MMC, MMCmobile",Std,PRO,PRO Duo,Micro,SDSC,miniSD,microSD,SDHC,miniSDHC,microSDHC,SDXC,microSDXC,Std,M,H,
ExpressCard,E,E,,E,E,,,,,,E,E,E,EM
PCI Express Mini Card,,,,,,,,,,,,,,,,,,,,,,EM
mSATA,,,XM,,,,,,,,,,,,,,,,,,,
PC Card,EM,EM,E,,E,E,,,E,,,,,,,,,,,
PCMCIA,EM,EM,,E,E,,E,E,,,E,,,,,,,,,,,
CF I,+,+,,E,E,,E,E,,E,E,E,
CF II,,+,,E,E,,E,E,,,E,,,,,,,,E,E,E,
CFast,,,+,,,,,,,,,,,,,,,,,,,
SM,,,,+,,,,,,,,,,,,,,,X,X,X,
xD,,,,,,,,,,,,,E,,,,,,+,+,+,
XQD,,,,,,,,,,,,,,,,,,,,,,+
MMC,,,,,+,M,,,,,D,,,,,,,,,,,
MS,,,,,X,,+,+,M,M,X,,,,,,,,,
SDSC,,,,,D,M,,,,,+,EM,EM,,,,,,,,,
miniSD,,,,,,,,,,,,+,EM,,,,,,,,,
microSD,,,,,,,,,,,,,+,,,,,,,,,
SDHC,,,,,,,,,,,D,EM,EM,+,EM,EM,,,,,,
miniSDHC,,,,,,,,,,,,D,EM,,+,EM,,,,,,
microSDHC,,,,,,,,,,,,,D,,,+,,,,,,
SDXC,,uscb,,,,,,,,,D,EM,EM,D,EM,EM,+,EM,,,,
microSDXC,,,,,,,,,,,,,D,,,D,,+,,,,
IDE PATA,EM,EM,,,,,,,,,,,
Serial ATA,E,E,EM,,,,,,,,,,,,,,,,,,,
PCI Express,,,,,,,,,,,,,,,,,,,,,,EM
USB,X,X,E,,E,,,,,,X,X,X,X
Floppy,,,,E,E,E + M,E,E,,,,,,,,,,,,,
Nintendo DS Slot-1,,,,,,,,,,,,,E,,,,,,,,,
Nintendo DS Slot-2,,,,,,,,,,,E,E,E,,,,,,,,,
