Store,Tracks(million),Geographicrestrictions,Purchase platform,FLAC,ALAC,WAV,AIFF,AAC,MP3,WMA,Vorbis,DRM,Preview (seconds),Stream purchases
7digital,27,Yes," Web, Android",24-bit,no,no,no,320 kbps,320 kbps,no,no,No,3030-60,yes
Acoustic Sounds,dunno,Yes,Web,24-bit,no,no,no,no,no,0No,no,No,30,no
Amazon Music,20,Yes," Web, Android",no,no,no,no,0No,256 kbps,0No,no,No,30,yes
Bandcamp,18.1,No,Web,24-bit,24-bit,24-bit,24-bit,127Yes,127Yes,0No,yes,No,999Full,yes
Beatport,7.8,Yes,Web,no,no,16-bit,16-bit,no,320 kbps,0No,no,No,120,Paid service
Bleep.com,0?,No,Web,16-bit,no,24-bit,no,0No,320 kbps,0No,no,No,999Full,yes
Classical Archives,0.62,Yes,Web,no,no,no,no,0No,320 kbps,0No,no,No,60,no
eMusic,17,Yes,Web,no,no,no,no,0No,320 kbps,0No,no,No,30,dunno
HDtracks,0?,YesUS,Web,24-bit,24-bit,24-bit,24-bit,0No,0No,0No,no,No,30,dunno
iTunes Store,43,Yes," Windows, macOSiOS, tvOS",no,no,no,no,256 kbps,0No,0No,no,No(previously FairPlay),90,iTunes in the Cloud
Jamendo,0.21,No,Web,no,no,no,no,0No,127Yes,0No,yes,No,999Full,dunno
Juno Download,0?,Yes,Web,16-bit,16-bit,16-bit,16-bit,0No,320 kbps,0No,no,No,60,no
Magnatune,0.01,No,Web,yes,yes,yes,no,yes,yes,0No,yes,No,999Full,dunno
MAQAM,0.01,No,Web,no,no,no,no,0No,320 kbps,0No,no,No,45,dunno
mora,4.4,YesJapan,Web,24-bit,no,no,no,320 kbps,0No,0No,no,No,30,dunno
NoiseTrade,0?,No,Web,no,no,no,no,0No,320 kbps,0No,no,No,999Full,dunno
ProStudioMasters,dunno,Yes,Web,24-bit,no,no,24-bit,no,no,0No,no,No,30,no
Qobuz,28,Yes," Web, Android, iOSKindle, Windows 8",24-bit,24-bit,24-bit,24-bit,320 kbps,320 kbps,320 kbps,no,No,3030-60,yes
Supraphononline,4.3,No,Web,16+24-bit,no,no,no,0No,320 kbps,0No,no,No,3030+30,dunno
Tidal,40,Yes,Web,16-bit,no,no,no,0No,320 kbps,0No,no,No,30,no
Store,Tracks(million),Geographicrestrictions,Purchase platform,FLAC,ALAC,WAV,AIFF,AAC,MP3,WMA,Vorbis,DRM,Preview (seconds),Streamingavailable
