Implementation,sect163k1 NIST K-163 (1)[83],sect163r1 (2)[83],sect163r2 NIST B-163 (3)[83],sect193r1 (4)[83],sect193r2 (5)[83],sect233k1 NIST K-233 (6)[83],sect233r1 NIST B-233 (7)[83],sect239k1 (8)[83],sect283k1 NIST K-283 (9)[83],sect283r1 NIST B-283 (10)[83],sect409k1 NIST K-409 (11)[83],sect409r1 NIST B-409 (12)[83],sect571k1 NIST K-571 (13)[83],sect571r1 NIST B-571 (14)[83]
Botan (programming library),No,No,No,No,No,No,No,No,No,No,No,No,No,No
BoringSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GnuTLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Java Secure Socket Extension,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LibreSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MatrixSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mbed TLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Network Security Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OpenSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RSA BSAFE,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
SChannel,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Secure Transport,No,No,No,No,No,No,No,No,No,No,No,No,No,No
WolfSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Erlang (programming language)/OTP SSL application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Implementation,sect163k1 NIST K-163 (1)[83],sect163r1 (2)[83],sect163r2 NIST B-163 (3)[83],sect193r1 (4)[83],sect193r2 (5)[83],sect233k1 NIST K-233 (6)[83],sect233r1 NIST B-233 (7)[83],sect239k1 (8)[83],sect283k1 NIST K-283 (9)[83],sect283r1 NIST B-283 (10)[83],sect409k1 NIST K-409 (11)[83],sect409r1 NIST B-409 (12)[83],sect571k1 NIST K-571 (13)[83],sect571r1 NIST B-571 (14)[83]
