,Language,License,Mutual authentication,Encryption,Verify mode,Agent-less,Have a GUI,First release,Latest stable release
Ansible (software),Python (programming language),GNU General Public License,Yes[1],Yes[2],Yes,Yes,Yes[3],2012-03-08,2020-03-05 2.9.6[4][5][6][7]
Bcfg2,Python,SIBSDSIBSD,Yes[9],Yes[10],Yes[11],No,Yes[12],2004-08-11[13],2015-06-11 1.3.6[13]
Capistrano (software),Ruby (programming language),MIT License,,Yes[2],,Yes[2],No,2005,2017-03-08 4.4.2
Cdist,Python,GNU General Public License,Yes[1],Yes[2],,Yes,,2010,2018-04-20 4.8.4[14]
Chef (software)," Ruby, Erlang (programming language) ",Apache License,Yes[15],Yes[16],Yes[17][18],No,Yes,2009-01-15 0.5.0," 2019-01-28 14.10.9 (client),[19] 2018-02-13 12.17.33 (server)[20] "
CFEngine,C (programming language)C (programming language),GNU General Public LicenseGNU General Public License,Yes[1],Yes[23],Yes[24][25],No,Yes[26],1993," 2020-06-23 3.16.0[27], 2020-06-02 3.15.2[28], 2020-06-02 3.12.5[29] "
ISconf,Python,GPL[30],Yes[31],No[32],,,,1998,2006-08-13 4.2.8.233
Juju (software)," Python, Go (programming language)Go (programming language) ",Affero General Public License,Yes[1],Yes[10],No,No,Yes[34],2010-09-17[35],2020-10-07 2.8.5[36]
Local ConFiGuration system (LCFG),Perl,GPL,Partial[37],Partial[38],No,No,No,1994,Weekly Releases
NOC (software),Python (programming language),BSD Licenses,Yes[1],Yes[2],Yes,Yes,Yes,2012-03-08,2015-05-20 15.05.1[39]
OCS Inventory NG with GLPI," Perl, PHP, C++ ",GPL,No[40],Yes[10],,No,,2003,2014-07-13[41]
Open pc server integration (Opsi)," Python, Java ",GPL,No,Yes[10],,No,,2004,2013-03-01 4.0.3
PIKT (page does not exist),C,GNU General Public LicenseGNU General Public License,Yes[43],Yes[44],,No,,1998[45],2007-09-10 1.19.0
Puppet (software)," Ruby, C++ &amp; C++ (server-side also Ruby before 4.0C++) "," Apache since 2.7.0, GPL before then ",Yes[47],Yes[10],Yes[48][49],No,Yes[50],2005-08-30[51]," 2020-06-03 6.16.0 (client),[52] 2020-06-03 6.12.0 (server)[53] "
Quattor," Perl, Python ",Apache 2.0[54][55],Yes[56],Yes[57],,,,2005-04-01[58],2018-07-3 18.6.0[59]
Radmind,C,BSD[60],Yes[61],Yes[62],,No,,2002-03-26[63],2008-10-08 1.13.0[64]
Rex (software),Perl (programming language),Apache License,Yes[1],Yes[2],,Yes,,2010-11-05 0.9.0[65],2017-12-03 1.6.0[66]
Rudder (software)," C (programming language), C (programming language) and C (programming language) ",GPLv3 and Apache 2.0[67],Yes[1],Yes[10],Yes[68][69],No,Yes,2011-10-31,2019-05-12 5.0.15[70]
SmartFrog,Java,GNU Lesser General Public License,Yes[71],Yes[71],,No,,2004-02-11,2009-01-26 3.16.004[72][73]
Salt (software)Salt (software),Python[75],Apache 2.0[76],Yes[77],Yes[77],Yes,Both[78][79],Yes[80][81],2011-03-17 0.6.0[82],2019-02-25 v2019.2.0[83]
Spacewalk (software)," Java (C, Perl, Python, PL/SQL) ",GPLv2,Yes,Yes,,No,,2008-06[84],2019-01-14 2.9[85]
STAF,C++,Common Public LicenseCommon Public License,No[87][88],Partial[89],,No,,1998-02-16[90],2012-12-16 3.4.16 [91]
SynctoolSynctool,Python[93],GPLv2[94],Yes[95],Yes[2],Yes[96],Yes[97],,2003[98],2019-08-11 6.3[99]
