,Trident (layout engine),EdgeHTML,Gecko (layout engine),WebKit,Presto (layout engine)
main element[30],No,12,21.0[g 76],Yes[w 60],No
template element[31],No,13,No,Yes[w 61],No
Selectors API[32],4.0[t 36],12,1.9.1[g 77],525[w 62],2.2[p 20]
Web StorageWeb Storage,4.0,12,1.9.1[g 78],525,2.5[p 21]
Indexed Database APIIndexed Database API,5.0[t 37],12,16.0[g 79],Partial,No
Web SQL Database (obsolete)Web SQL Database,No,No,No[g 80],Yes[w 63],2.5[p 21]
File API[36],5.0,12,Yes[g 81],Yes[w 64][w 65],2.8[p 22]
File API: Writer[37],5.0,No,No[g 82],Partial[w 66],No
File API: Directories and System[38],No,No,No[g 83],Yes[w 67],
Media Capture API[39],,,2.0[j],No,2.10[p 23]
Server-sent eventsServer-sent events,,,6.0[g 85],Yes[w 68],2.7[p 24][p 25]
WebSocketWebSocket,6.0[t 38],12,11.0[g 86],533,2.11[k]
Web WorkersWeb WorkersWeb Workers,6.0[t 39],12,1.9.1[g 87],Yes,2.6[p 8][p 9]
W3C Geolocation APIW3C Geolocation API,5.0[t 40],12,1.9.1[g 88],533[w 69],2.6[l]
Offline Web applications[45],6.0[t 41],12,1.9.1[g 89],Yes,2.6[p 8][p 9]
Web Notifications[46],No,No,22.0[47][48],only in Chrome[49],25[p 31]
,Trident (layout engine),EdgeHTML,Gecko (layout engine),WebKit,Presto (layout engine)
