Server,Security,,,Shared web hosting service,Dynamic content[a],,,,,,,,Runs in User space or User space,Administration console,Additional protocol support,,,
,Basic access authentication,Digest access authentication,Transport Layer Security Transport Layer Security,,Common Gateway Interface,FastCGI,Simple Common Gateway Interface,Web Server Gateway Interface,Java Servlets,Server Side Includes,Internet Server Application Programming Interface,JavaScript,,,IPv6,HTTP/2,QUIC,HTTP/3
AOLserver,Yes,No,Yes[b][c][d][3],Yes,Yes,No,Unknown,No,No,Yes,Unknown,Unknown,user,Unknown,Unknown,Unknown,Unknown,Unknown
Apache HTTP Server,Yes,Yes,Yes[e][c][4][f][5],Yes,Yes,Yes,Yes,Yes[e],No[g],Yes,Yes[h],Unknown,user,Yes[i],Yes,Yes,Unknown,Unknown
Apache Tomcat,Yes,Yes,Yes[j][6],Yes,Yes,No,Unknown,No,Yes,Yes,No[k],Unknown,user,Yes,Yes[l],Yes,Unknown,Unknown
Boa (web server),No,No,Yes[m],Yes,Yes,No,Unknown,No,No,No,No,No,user,Unknown,Yes,No,No,No
BusyBox,Yes,No,No,No,Yes,No,No,No,No,No[n],No,No,user,No,Yes,No,No,No
Caddy (web server),Yes,No,Yes,Yes,Partial[o],Yes,No,No,No,No[p],No,No,user,No,Yes,Yes,Yes,Yes[q]
Resin Server,Yes,Yes,paid version[c],Yes,Yes,Yes,Unknown,No,Yes,Yes,No,Unknown,user,Yes,Yes,Unknown,Unknown,Unknown
Caudium (web server),Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Yes,Yes,Unknown,Unknown,user,Yes,Yes[r],Unknown,Unknown,Unknown
Cherokee HTTP Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,user,Yes,Yes[8],Unknown,Unknown,Unknown
HTTP File Server,Yes,No,Yes via Stunnel[9],No,No,No,Unknown,No,No,No,Unknown,Unknown,user,Unknown,No,Unknown,Unknown,Unknown
Hiawatha webserver,Yes,Yes,Yes[s][10],Yes,Yes,Yes,No,No,No,Yes,No,Unknown,user,Yes,Yes,No[11],No[11],No[11]
IBM HTTP Server,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,Yes,No,Unknown,user,Yes,Yes,Unknown,Unknown,Unknown
Internet Information Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No[t],Yes,Yes,Yes,kernel and user[12],Yes,Yes,Yes,Unknown,Unknown
Jetty (web server),Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Yes,Unknown,Unknown,Yes,user,Unknown,Unknown,Yes,Unknown,Unknown
Jexus,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,user,Yes,No,Unknown,Unknown,Unknown
Lighttpd,Yes,Yes,Yes[c][13],Yes,Yes,Yes,Yes,Yes,No[g],Yes,No,No,user,No,Yes,No,Unknown,Unknown
LiteSpeed Web Server,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,No[g],Yes,No,Unknown,user,Yes,Yes,Yes,Yes,Yes[14]
Mongoose (web server),Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,user,Yes,Yes,Unknown,Unknown,Unknown
Monkey HTTP Server,Yes,No,Yes[s],Yes,Yes,Yes,No,No,No,No,No,No,user,No,Yes,Unknown,Unknown,Unknown
NaviServer,Yes,No,Yes,Yes,Yes,No,Unknown,No,No,Yes,Unknown,Unknown,user,Yes,Yes,Unknown,Unknown,Unknown
NCSA HTTPd,Yes,Yes,Unknown,Partial[u],Yes,Unknown,Unknown,No,No,Yes,No,No,user,Unknown,Unknown,No,No,No
Nginx,Yes,Yes (module),Yes,Yes,No,Yes,Yes,Yes,No[15],Yes,No,Unknown,user,Yes[16],Yes[17],Yes[18],Yes[v],Yes[v]
Virtuoso Universal Server,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,user,Yes,No,No,Unknown,Unknown
Oracle HTTP ServerOracle HTTP Server,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,Yes,No,Unknown,user,Yes[w],Yes,Unknown,Unknown,Unknown
Oracle iPlanet Web Server,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Yes,Yes,No,Yes,user,Yes,Yes,Unknown,Unknown,Unknown
Thttpd,Yes,Unknown,No,Yes,Yes,No,Unknown,No,No,No,No,Unknown,user,No,Yes,Unknown,Unknown,Unknown
TUX web server,No,No,No,Yes,Yes,No,Unknown,No,No,No,No,Unknown,kernel,Unknown,Unknown,Unknown,Unknown,Unknown
Wakanda (software),Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,user,Yes,Yes,Unknown,Unknown,Unknown
Xitami,Yes,Unknown,paid version,Yes,Yes,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,user,Unknown,Unknown,Unknown,Unknown,Unknown
Yaws (web server),Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,No,No,Yes,No,Unknown,user,Unknown,Yes,Unknown,Unknown,Unknown
Zeus Web Server,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No[g],Yes,Yes,Unknown,user,Yes,No,Unknown,Unknown,Unknown
