Feature,Android (operating system),IOS,Tizen,Sailfish OS,Ubuntu Touch
" Cut, copy, and paste ",Yes[93],3+[94],Yes[95],Yes,Yes
Multi-Device Clipboard (computing),No,10+[96],No,No,No
Undo,No[97],3+[98],No,No[99],Yes
Custom home and lock screen wallpaper,Yes,4+[60],Yes,Yes (incl. Ambience),Yes
Desktop sync," No,HTC Sense but available using the vendor's companion/PC suite application such as Samsung Smart Switch &amp; HTC SenseHTC Sense",Yes,Yes,?,Yes
Local full backup," Yes, via external computer[102]"," Yes, using external computer or iCloud[103]",No[104],Yes,Yes
Core data missing sync," Bookmarks[105] (before 4), SMSs and Settings[106]",,?,?,?
Notification center,Yes,5+[107],2+[108],Yes,Yes
Push notifications,Yes[109],Yes (Apple Push Notification Service),2+[110],Yes,Yes
Screenshot," 4+ also available on earlier versions with customized firmware, such as Cyanogen Mod and on older Samsung Galaxy smartphones[111]",Yes[60][112],Yes,2.0.2+[113],Yes
ICalendar import," No,[114] but 3rd party app available[115]",Yes[116],?,1.1.6+[117],No
Text/document support (read only; creating using third party apps)," Microsoft Office, PDF, TXT/RTF"," Microsoft Office,[118][119][120] iWork, PDF, Images, TXT/RTF, VCF"," Read only: text files, PDF, HTML, Multiple office formats"," Microsoft Office, OpenDocument, PDF, Text",Yes
Printer support,4.4+ using Google Cloud PrintGoogle Cloud Print but not over USB unless proprietary vendor solutions such as HP Print Service are usedGoogle Cloud Print,Yes (AirPrint)AirPrint,No," yes, cups package is available",Software release life cycle
Show remembered Wi-Fi connections,Yes," No, 3rd party software on jailbroken devices[124]",?,Yes,Yes
