Name," Raster image (JPEG, TIFF, etc.) ",Adobe Flash viewer,Java (software platform) viewer,QTVR,HTML 5*,Notes
Panoweaver,Yes,Yes,Yes,Yes,Yes,Includes free Flash and HTML5 viewer.
Dermandar,Yes,Yes,No,No,Yes,Includes free Flash and HTML5 viewer.
i2Align Quickage Express / Pro,Yes,No,No,No,No,
Pixtra PanoStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer &amp; export.
Pixtra OmniStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer &amp; export.
QuickPHOTO,Yes,No,No,No,No,
PhotoFit Harmony / Premium,Yes,No,No,Yes,No,
PanoramaPlus X4,Yes,No,No,Yes,No,Flickr export.
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,Yes,Yes*,No,No,No,(*) Planar viewer.
360 Panorama Professional,Yes,No,Yes,Yes,No,
VRstitcher Fisheye Pro,Yes,No,Yes,?,No,
COOL 360[26],Yes,No,No,Yes,No,Embedding of panoramas into executables (.exe) and Microsoft Microsoft files. ActiveX viewer.
PanaVue ImageAssembler Std. / Pro. / Ent.,Yes,Yes,Yes,Yes,No,
The Panorama Factory v5,Yes,No,Yes,Yes,No,
PixMaker Lite / Home / Business,Yes,?,?,?,No,
PTAssembler,Yes,No,No,No,No,
PTGui,Yes,No,No,Yes,Yes[27],
Autopano Pro / Giga / Server,Yes,Yes,No,No,No,
Autostitch,Yes,No,No,No,No,
Calico,Yes,No,?,?,?,
Hugin (software),Yes,No,No,No,No,
3DVista Stitcher 3.0,Yes,No,No,No,No,
D Joiner,Yes,?,Yes,No,No,
PanoramaMaker,Yes,Yes,Yes,Yes,No,
Photovista Panorama,Yes,No,Yes,No,No,IVR export.
PanoramaStudio / pro[28],Yes,Yes,Yes,No,Yes,
Stitcher Unlimited 2009,Yes,Yes,Yes,Yes,No,VRML export.
ADG Panorama Tools / Pro,Yes,No,Yes,Yes,No,
Panorama Composer 3,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer &amp; export.
Microsoft Image Composite Editor,Yes,No,No,No,No," Publish to Photosynth website, Photosynth based viewer. "
Panorama Perfect,Yes,No,No,No,No,
Photoshop,Yes,No,No,No,No,
AIPR Lite 1,Yes,No,No,No,No,
Gigapan Stitch 1.0,Yes,Yes,No,No,No,3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer
PanoramaMaker,Yes,No,No,No,No,
PanoEdit,Yes,No,No,No,No,
SharpStitch,Yes,No,No,No,No,
Pano2VR / Pano2VR pro,Yes,Yes,No,Yes,Yes,
