Distribution, Free software repositories, Approximate number of pre-compiled packages, Approximate number of source packages, Default package management tool(s), Package format, Default installer, Graphical installation process, Netinstall, Netboot
Alpine Linux, Free and nonfree, 8135[174], ?, apk, .apk, setup-alpine, No, ?, ?
ALT Linux, Free and nonfree, 8300[175], ?, APT (APT-RPM) RPM, RPM, , Yes, ?, ?
Arch Linux, Free and nonfree, 10999[176], 66265 from AUR[177], Pacman, .pkg.tar.zst[178], None (third-party install scripts only), No, Yes, iPXE
BLAG, Free only, 10000[179], ?, RPM yum APT, RPM, , Yes, No, No
Bodhi Linux, Free and nonfree, [a][180], ?, APT, .dpkg, Ubiquity, Yes, ?, ?
CentOS, Free and nonfree, [b], ?, RPM yum/up2date, RPM, Anaconda, Yes, Yes, ?
Chakra, Free and nonfree, 3074[181], CCR: 5342[182], Pacman (will be replaced by Akabei in future), .pkg.tar.xz, , Package manager in development, ?, ?
ClearOS, Free and nonfree, [c], ?, RPM yum, RPM, , No, ?, ?
CrunchBang Linux, Free and nonfree, [d][180], ?, APT, .deb, , Yes, ?, ?
Debian, Free and nonfree, 89403[180], 28923[e], APT, .deb, Debian-Installer, Yes, Yes, PXE
Devuan, Free and nonfree, [f][180], ?, APT, .deb, Debian-Installer, Yes, Yes, PXE
Dragora GNU/Linux-Libre, Free only, 484, ?, pkgsystem, .tlz, ?, No, No, No
dyne:bolic, Free only, ?, ?, APT, .deb, Debian-Installer, Yes, No, No
Fedora, Free and nonfree, 58991 with RPM fusion[183], 30681[184], DNF yum PackageKit, RPM, Anaconda, Yes, Yes, ?
Gentoo, Free and nonfree, 10000[185], 19092[186][g], Portage, .ebuild .tbz2, None (third-party install scripts only), Yes[h], Yes, PXE
gNewSense, Free only, ?, ?, APT, .deb, Debian-Installer, Yes, Yes, No
Guix System, Free only, 13168[187], 13168, Guix, .scm .go, guix system init[188], Yes[189], Yes[190], No
Hyperbola GNU/Linux-libre, Free only, 14494[191], ?, Pacman, .pkg.tar.xz, None (third-party install scripts only), No, Yes, ?
Knoppix, Free and nonfree, [i][180], ?, APT, .deb, , No, ?, ?
LibreCMC, Free only, 826, ?, ?, ?, , No, No, No
Linux Mint, Free and nonfree, [j][180], ?, APT, .deb, Ubiquity, Yes, ?, ?
Mageia, Free and nonfree, 17283 (i586) 11409 (x86-64)[192], 8834[193], urpmi rpmdrake, RPM, DrakX, Yes, Yes, ?
Mandriva Linux, Free and nonfree, 22600, ?, urpmi rpmdrake, RPM, DrakX, Yes, ?, ?
Manjaro Linux, Free and nonfree, ?, [k][177], Pacman, .pkg.tar.xz, Calamares[194], Yes[195], Yes, iPXE
MEPIS, Free and nonfree, [l][180], ?, APT, .deb, MEPIS Install, Yes, ?, ?
Musix GNU+Linux, Free only, 1819, ?, APT, .deb, Debian-Installer, Yes, No, No
OpenELEC, Free and nonfree, 140[196], ?, XBMCbuntu addon manager own and 3rd party addons, .zip, , Yes, ?, ?
openSUSE, Free and nonfree, 42236 with PackMan[197], 34000, YaST Zypper, RPM, YaST, Yes, Yes, ?
OpenWrt, Free and nonfree, 2000, ?, opkg, .ipk, -, No, ?, ?
Parabola GNU/Linux-libre, Free only, 23000[198], ?, Pacman, .pkg.tar.xz, None (third-party install scripts only) or Calamares, Yes, Yes, ?
Pardus, Free and nonfree, 4000, ?, PiSi, .pisi, YALI, Yes, ?, ?
Parsix, Free and nonfree, [m][180], 14900, APT, .deb, , Yes, ?, ?
PCLinuxOS, Free and nonfree, 12000, ?, APT RPM, RPM, , Yes, ?, ?
Puppy, Free and nonfree, 700, ?, PupGet DotPup, .pup .pet, , Yes, ?, ?
Red Hat Enterprise Linux, Free and nonfree, 3000 (plus 9155 from EPEL[199]), ?, RPM yum, RPM, Anaconda, Yes, ?, ?
Rxart, Free and nonfree, [n][180], ?, APT, .deb, , Yes, ?, ?
Sabayon Linux, Free and nonfree, [o], ?, Portage Entropy, ebuild .tbz2, Calamares, Yes, ?, ?
Scientific, Free and nonfree, [p], ?, APT/yum, RPM, , Yes, ?, ?
Slackware, Free and nonfree, 2292, 7705 from SlackBuilds[200], slackpkg, tgz .txz .tlz .tbz, bash script[201], No, Yes, Yes
Slax, Free and nonfree, 2050, ?, none, .lzm, , , ?, ?
SliTaz GNU/Linux, Free and nonfree, 3381[202], ?, Tazpkg, .tazpkg, tazinst, Yes, iPXE, iPXE
Solus, Free and nonfree, 9500, ?, eopkg, .eopkg, os-installer, Yes, No, No
Source Mage GNU/Linux, Free and nonfree, 118, 8876, Sorcery Package Manager, src, , Yes, ?, ?
SUSE Linux, Free and nonfree, 24094, 11385, YaST Zypper, RPM, YaST, Yes, ?, ?
Tiny Core Linux, Free and nonfree, 25160, ?, ab tce-load, tcz, tc-install core2usb, Yes, ?, ?
Tiny SliTaz, Free and nonfree, 50, ?, Web site[203], tazpkg, , No, ?, iPXE
Trisquel, Free only, 52748[204], ?, APT, .deb, Ubiquity, Yes, Yes, ?
TurnKey GNU/Linux, Free and nonfree, [q][180] (plus ≈30 custom packages), 21041[r] (currently TurnKey only supplies source code for custom packages), APT, .deb, DI-Live (custom fork of Debian Installer), No, No, No
Ubuntu Kubuntu Xubuntu, Free and nonfree, [s][180], 24474[t], APT, .deb, Ubiquity, Yes, Yes, PXE
Ututo, Free only, 5000, ?, UTUTO Package Manager, ebuild, ?, ?, No, No
Vector Linux, Free and nonfree, ?, ?, slapt-get gslapt installpkg, tgz, , Yes, ?, ?
Void Linux, Free nonfree and multilib, 6000, 6719, xbps, .xbps, ncurses script, Yes, Yes, No
XBMC Live, Free and nonfree, ?, ?, APT, .deb, , No, ?, ?
Zentyal, Free and nonfree, [u][180], ?, APT, .deb, dpkg, Yes, ?, ?
Zenwalk, Free and nonfree, 2000, ?, netpkg installpkg upgradepkg, tgz txz, , Yes, ?, ?
Distribution, Free software repositories, Approximate number of pre-compiled packages, Approximate number of source packages, Default package management tools, Package format, Default installer, Graphical installation process, Netinstall, Netboot
