Name,Creator,Input format,Languages,OS support,First public release date,Latest stable version,Software license
COBOLDoc (page does not exist),Bruno Pacheco Lopes da Silva,Text,COBOL,Any,2020/08/01,1.0.11,GPL
Ddoc,Walter Bright,Text,D," Windows, OS X, Linux and BSD ",2005/09/19,DMD 2.078.3,Boost
Document! X,Innovasys," Text, Binary "," C++/CLI only, Java, C#, VB, VBScript, IDL, PL/SQL ",Windows only,1998,2014.1,Proprietary
Doxygen,Dimitri van Heesch,Text," C/C++, Java, C#, D, IDL, Fortran, PHP, Python, Tcl ",Any,1997/10/26,1.8.14,GPL
Epydoc,Edward Loper,Text,Python,Any,2002/01/—,3.0 (2008),MIT License
Free Pascal (Free Pascal Documentation Generator),Sebastian Guenther,Text,Pascal,[ Wikipedia:Verifiability ],2005?,2.6.4,GPL
Haddock (software),Simon Marlow,Text,Haskell,Any,2002,2.15.0 (2014),BSD
HeaderDoc,Apple Inc.,Text," C, C++, Java, Delphi, Pascal, IDL, PHP, Perl, Python, Ruby, JavaScript, Tcl, AppleScript, MIG, Bash, Csh ",Any Unix-like,2000/09/—,8.9.28 (2013),Apple Public Source License
Imagix 4D,Imagix Corp.,Text," C, C++, Java "," Windows, Linux, Unix ",1995,7.3,Proprietary
Javadoc,Sun Microsystems,Text,Java,Any,1995,1.6,GPL
ScalaDoc (page does not exist)," LAMP, EPFL ",Text,Scala,Any,2011,1.0,Scala License
JSDoc,Michael Mathews,Text,JavaScript,Any,2001/07/—,1.10.2,GPL
JSDoc,Michael Mathews,Text,JavaScript,Any,2007?,2.0.0,MIT
Mkd (Unix command),Jean-Paul Louyot,Text,Any with comments,Any ([ Wikipedia:Verifiability ]),1989,2015,EUPL GPL
Natural Docs,Greg Valure,Text,Any with comments,Any,2003/05/26,2.0.2,GPL
NDoc," Jason Diamond, Jean-Claude Manoli, Kral Ferch ",Binary,C#,Windows only,2003/07/27,1.3.1,GPL
Pandoc[ Pandoc ],John MacFarlane,?,?,Any,2006,1.14.0.3 (2015),GPL
Pdoc3,kernc,Text,Python,Any,2013,0.5.1,Affero GPL
Plain Old Documentation,Larry Wall,Perl,Text,Any,1994,5.16.3," Artistic License, GPL "
PhpDocumentor,Joshua Eichorn,Text,PHP,Any,2000,1.4.4,GNU Lesser General Public License
Pydoc,Ka-Ping Yee[1][2],Text,Python,Any,2000,in Python core,Python Software Foundation License
RDoc,Dave Thomas,Text," C, C++, Ruby ",Any,2001/12/14,in Ruby core,Ruby License
ROBODoc,Frans Slothouber,Text,Any with comments,Any,1995/01/19,4.99.36 (2015),GPL
Sandcastle (software),Microsoft,Text,.NET,Windows only,2008/05/—,2014.5.31.0,Shared source
Sphinx (documentation generator),Georg Brandl,Text," C, C++, Ada, Fortran, PHP, Python, Ruby, JavaScript ",Any,2008/03/21,1.6.3,BSD
Visual Expert,Novalys," Text, Binary "," C#, PL/SQL, Transact-SQL, PowerBuilder ",Windows only,1995,2017,Proprietary
VSdocman,Helixoft,Text," C#, VB, VBScript ",Windows only,2003 Oct 2,9.0,Proprietary
YARD (software),Loren Segal,Text,Ruby,Any,2007/02/24,0.7.3,MIT
