,Australia Post,Canada Post,DHL Express,FedEx,OnTrac,United States Postal Service,United Parcel Service,Purolator Courier
Apache OFBiz,No,No,Yes,Yes,No,Yes,Yes,No
Bigcommerce,Yes,Yes,No,Yes,No,Yes,Yes,No
KonaKart,No,No,No,Yes,No,Yes,Yes,No
Magento,No,Yes,Yes,Yes,No,Yes,Yes,Yes
NopCommerce,Yes,Yes,No,Yes,No,Yes,Yes,No
OsCommerce,No,No,No,No,No,No,No,No
PrestaShop,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Shopify,No,add-on,No,No,No,Yes,Yes,No
WooCommerce,No,Yes,No,No,No,Yes,No,No
Zen Cart,add-on,add-on,add-on,add-on,Yes,add-on,Yes,Yes
,Australia Post,Canada Post,DHL,FedEx,OnTrac,United States Postal Service,UPS,Purolator
