, R-/R+ tree, Hash, Expression, Partial, Reverse, Bitmap, GiST, GIN, Full-text, Spatial, FOT, Duplicate index prevention
4th Dimension, ?, Cluster, ?, ?, ?, ?, ?, ?, Yes, ?, ?, No
ADABAS, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, No
Adaptive Server Enterprise, No, No, Yes, No, Yes, No, No, No, Yes, ?, ?, No
Advantage Database Server, No, No, Yes, No, Yes, Yes, No, No, Yes, ?, ?, No
Apache Derby, No, No, No, No, No, No, No, No, No[80], ?, ?, No
ClustrixDB, No, Yes, No, No, No, No, No, No, No, No, ?, No
CUBRID, No, No, Yes[81], Yes[81], Yes, No, No, No, No, No, No, No
DB2, Yes, Yes, Yes, No, Yes, Yes, No, No, Yes[82], ?, ?, No
Empress Embedded Database, Yes, No, No, Yes, No, Yes, No, No, No, ?, ?, No
EXASolution, No, Yes, No, No, No, No, No, No, No, ?, ?, No
Firebird, No, No, Yes, No, Yes, No, No, No, No[83], ?, ?, No
HSQLDB, No, No, No, No, No, No, No, No, No, ?, ?, No
H2, No, Yes, No, No, No, No, No, No, Yes[84], Yes[85], ?, No
Informix Dynamic Server, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes[86], Yes
Ingres, Yes, Yes, Ingres v10, No, No, Ingres v10, No, No, No, ?, ?, No
InterBase, No, No, No, No, No, No, No, No, No, ?, ?, No
Linter SQL RDBMS10, No, Yes temporary indexes for equality joins, Yes for some scalar functions like LOWER and UPPER, No, No, No, No, No, Yes[87], No, No, Yes
LucidDB, No, No, No, No, No, Yes, No, No, No, ?, ?, No
MariaDB, Aria and MyISAM tables and since v10.2.2 InnoDB tables only[88], MEMORY[89] InnoDB5 tables only, PERSISTENT virtual columns only[90], No, No, No, No, No, Yes[91], Aria and MyISAM tables and since v10.2.2 InnoDB tables only[88], ?, No
MaxDB, No, No, No, No, No, No, No, No, No, ?, ?, No
Microsoft Access (JET), No, No, No, No, No, No, No, No, No[92], ?, ?, No
Microsoft Visual Foxpro, No, No, Yes, Yes, Yes2, Yes, No, No, No, ?, ?, No
Microsoft SQL Server, Spatial Indexes, Yes4, Yes3, Yes, on Computed columns3, Bitmap filter index for Star Join Query, No, No, Yes[93], Yes[94], ?, No
Microsoft SQL Server Compact (Embedded Database), No, No, No, No, No, No, No, No, No[95], ?, ?, No
Mimer SQL, No, No, No, No, Yes, No, No, No, Yes, Yes, No, No
MonetDB, No, Yes, No, No, No, No, No, No, No, No, No, No
MySQL, Spatial Indexes[96], MEMORY Cluster (NDB) InnoDB5 tables only, No[97], No, No, No, No, No, MyISAM tables[98] and since v5.6.4 InnoDB tables[99], MyISAM tables[100] and since v5.7.5 InnoDB tables[101], ?, No
OpenLink Virtuoso, Yes, Cluster, Yes, Yes, No, Yes, No, No, Yes, Yes (Commercial only), No, No
Oracle, Yes 11, Cluster Tables, Yes, Yes 6, Yes, Yes, No, No, Yes[102], Yes[103], ?, Yes[104]
Oracle Rdb, No, Yes, ?, No, No, ?, No, No, ?, ?, ?, No
Pervasive PSQL, No, No, No, No, No, No, No, No, No, No, No, No
Polyhedra DBMS, No, Yes, No, No, No, No, No, No, No, No, ?, No
PostgreSQL, Yes, Yes, Yes, Yes, Yes7, Yes, Yes, Yes, Yes[105], PostGIS[106], ?, No
Raima Database Manager, Yes, Yes, No, Yes, Yes, No, No, No, No, Yes, No, No
RDM Server, No, No, No, Yes, Yes, No, No, No, No, No, No, No
SAP HANA, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, No
solidDB, No, No, No, No, Yes, No, No, No, No, No, No, No
SQL Anywhere, No, No, Yes, No, No, No, No, No, Yes, Yes, ?, Yes
SQLite, Yes[107], No, Yes[108], Yes, No, No, No, No, Yes[109], SpatiaLite[110], ?, No
SQream DB, ?, ?, ?, ?, Yes, ?, ?, ?, ?, ?, ?, No
Teradata, No, Yes, Yes, Yes, No, Yes, No, No, ?[111], ?, ?, No
UniVerse, Yes, Yes, Yes3, Yes3, Yes3, No, No, No, ?, Yes[112], ?, No
, R-/R+ tree, Hash, Expression, Partial, Reverse, Bitmap, GiST, GIN, Full-text, Spatial, FOT, Duplicate index prevention
